Synset('steal.v.01')	stolen stole stealing
Synset('chair.n.01')	chair chairs
Synset('fire.v.03')	fired fires firing fire
Synset('wage.n.01')	salaries pay salary wage
Synset('stipulate.v.01')	qualified specifies condition conditioning qualifies qualify
Synset('witness.v.01')	witnessed witness witnessing witnesses
Synset('plan.v.01')	planning plans planes planned plan
Synset('charge.n.03')	charges charge
Synset('announcer.n.02')	announcer announcers
Synset('well_up.v.01')	swollen swell
Synset('resident.n.01')	residents occupier occupant occupants resident
Synset('strive.v.02')	strive reaches striving reach reached reaching
Synset('answer.v.03')	answered answer answering
Synset('play.v.12')	play plays playing played
Synset('busbar.n.01')	bus buses
Synset('area.n.05')	area areas
Synset('session.n.01')	sessions session
Synset('specify.v.03')	specifies define defined defines
Synset('rob.v.01')	rob robbing robbed
Synset('yelling.n.01')	yelling shouting
Synset('overture.n.03')	advances approaches approach advance
Synset('psalm.n.01')	psalms psalm
Synset('connect.v.06')	connected connects connecting connect
Synset('sting.n.03')	stings bite sting bites
Synset('slide.n.05')	coast slides slide glide
Synset('rank_and_file.n.01')	ranks rank
Synset('call.v.28')	call called calls
Synset('post.v.12')	post posting posted
Synset('voucher.n.01')	voucher vouchers
Synset('tinge.v.01')	color colored distort
Synset('shoulder.n.01')	shoulders shoulder
Synset('lip.n.01')	lip lips
Synset('sabre.v.01')	sabre sabres
Synset('buy.v.03')	buys bought buy buying
Synset('sky.n.01')	sky skies
Synset('summons.n.03')	process processes summons
Synset('herring.n.01')	herrings herring
Synset('upset.n.02')	upset overthrow
Synset('hybrid.n.03')	cross crosses
Synset('think.v.03')	thought thinks thinking
Synset('property.n.01')	holding property properties
Synset('strong.a.01')	strong stronger strongest
Synset('call.v.02')	call called calls calling
Synset('straighten.v.03')	straighten straightened
Synset('raid.v.01')	bust raids raid
Synset('push_button.n.01')	button buttons
Synset('tourist.n.01')	tourist tourists
Synset('believe.v.04')	believes believed believing
Synset('utility.n.06')	utility utilities
Synset('return.n.11')	returns return
Synset('spectacles.n.01')	glasses specs
Synset('service.n.11')	service services
Synset('decisiveness.n.01')	decision decisions
Synset('titan.n.02')	titans titan
Synset('spend.v.01')	spends spending spend spent passed
Synset('shirt.n.01')	shirt shirts
Synset('submission.n.07')	submissions submission
Synset('twin.n.01')	twins twin
Synset('fire.v.02')	discharged discharge
Synset('rethink.v.01')	rethinking rethought
Synset('kurd.n.01')	kurds kurd
Synset('witness.v.02')	witnessed found witnessing
Synset('city.n.02')	cities city
Synset('trademark.n.02')	trademark trademarks
Synset('town.n.01')	town towns
Synset('cylinder.n.02')	cylinder cylinders
Synset('struggle.n.01')	battle struggles struggle
Synset('overtake.v.01')	caught catching catch
Synset('remove.v.02')	removed remove removing
Synset('inherit.v.01')	inherited inherit
Synset('represent.v.09')	interpret interprets interpreted
Synset('stem.v.03')	halt halted staunch
Synset('herring.n.02')	herrings herring
Synset('arm.n.01')	arms arm
Synset('recuperate.v.04')	recovered recovering
Synset('lift.v.02')	lifting lifted
Synset('substitution.n.02')	substitution exchanges exchange
Synset('monkey.n.01')	monkeys monkey
Synset('workplace.n.01')	work workplace
Synset('majority_rule.n.01')	democracy democracies
Synset('guard.n.06')	guard guards
Synset('replace.v.01')	replaces replace replaced replacing
Synset('enable.v.01')	enabling enable enabled enables
Synset('desire.v.03')	desire desired
Synset('battery.n.03')	batteries battery
Synset('forward.n.01')	forwards forward
Synset('brick.n.01')	bricks brick
Synset('liberty.n.03')	liberty liberties
Synset('denote.v.01')	denote denotes
Synset('stay.n.03')	stays stay
Synset('react.v.02')	opposes reacts opposed opposing reacting oppose react reacted
Synset('proof.n.02')	proofs proof
Synset('libertarian.n.01')	libertarians libertarian
Synset('temperature.n.02')	temperatures temperature
Synset('bat.v.01')	bats bates batting bat batted
Synset('month.n.02')	months month
Synset('major.n.04')	majors major
Synset('galaxy.n.03')	galaxies galaxy
Synset('study.v.06')	study studying studied contemplate contemplating studies
Synset('date.n.06')	date dates
Synset('citizen.n.01')	citizen citizens
Synset('appeal.v.01')	appealed appealing
Synset('receipt.n.02')	receipts receipt
Synset('diagram.n.01')	diagram diagrams
Synset('venture.v.01')	venture ventures
Synset('stab.v.02')	stab stabbed
Synset('whirl.v.02')	spin spins spinning
Synset('protest.v.01')	protesting protest protested
Synset('cleanse.v.01')	cleaning cleaned cleanse clean cleansing
Synset('conspiracy.n.02')	conspiracy cabal
Synset('neck.n.01')	necks neck
Synset('cruise.v.04')	cruise cruising
Synset('convert.n.01')	convert converts
Synset('raid.v.03')	raided raids raid
Synset('eagle.n.01')	eagle eagles
Synset('snap.v.04')	clicked clicking
Synset('protein.n.01')	proteins protein
Synset('love.v.02')	love enjoys loved enjoy enjoying enjoyed
Synset('touch.v.08')	touches touched touching touch
Synset('assist.n.02')	assists assist
Synset('timer.n.01')	timer timers
Synset('scale.n.06')	scales scale
Synset('year.n.03')	year years
Synset('qi.n.01')	chi qi ki
Synset('leave.v.02')	leave leaving
Synset('area.n.02')	area areas
Synset('react.v.03')	reacts reacting react reacted
Synset('love.v.01')	love loving loved loves
Synset('religion.n.02')	faiths religions faith religion
Synset('lode.n.01')	load loads
Synset('limiter.n.01')	clippers clipper
Synset('property.n.02')	property properties
Synset('temperature.n.01')	temperatures temperature
Synset('ray.n.07')	ray rays
Synset('save.v.02')	saving saves saved preserved save preserves savings preserve preserving
Synset('refrain.n.01')	refrain chorus
Synset('set.n.01')	set sets
Synset('density.n.01')	density densities
Synset('print.n.01')	prints print
Synset('intrigue.v.01')	intriguing fascinating
Synset('beep.v.02')	beep beeps beeping
Synset('sport.n.04')	sports sport
Synset('scar.v.01')	mark scared
Synset('tree.v.03')	tree trees
Synset('european.n.01')	european europeans
Synset('triple.n.01')	triples triple
Synset('sedan.n.01')	sedan sedans
Synset('hop.v.04')	hoping hoped hopes
Synset('pad.n.07')	pad pads
Synset('amplifier.n.01')	amplifiers amplifier
Synset('print.n.02')	prints print
Synset('mission.n.03')	charges mission charge missions
Synset('mountain.n.01')	mountains mountain mount
Synset('seat.n.05')	seat seats
Synset('occupation.n.01')	occupation business line jobs job lines businesses
Synset('wood.n.08')	woods wood
Synset('death.n.06')	death deaths
Synset('politics.n.02')	politics government governments
Synset('precedent.n.01')	precedents precedent
Synset('rest.v.08')	rest resting rests rested
Synset('swing.v.01')	swing swung swinging swings
Synset('associate.n.01')	associates associate
Synset('property.n.05')	property properties props
Synset('death.n.03')	death deaths
Synset('major.n.02')	majors major
Synset('teacher.n.01')	teacher instructor teachers instructors
Synset('convert.v.11')	converted converting
Synset('window.n.08')	window windows
Synset('coin.n.01')	coins coin
Synset('short-change.v.01')	shorting shorted
Synset('strain.v.03')	strain extends extending extended
Synset('rein.n.01')	rein reins
Synset('firecracker.n.01')	cracker crackers
Synset('thread.v.03')	threads thread threaded
Synset('stature.n.02')	heights stature height
Synset('standing.n.03')	standing standings
Synset('roman.n.02')	romans roman
Synset('freedom.n.01')	freedom freedoms
Synset('benefit.n.01')	benefits benefit
Synset('warn.v.02')	warn warnings warns warned discourage warning
Synset('ground.n.09')	grounds earth ground
Synset('protest.v.03')	protesting protested
Synset('talk_through_one's_hat.v.01')	fake bullshit
Synset('topic.n.02')	issue matters topics subject subjects topic matter issues
Synset('pad.n.04')	pad pads
Synset('unwrap.v.02')	broken discover discovered discovering disclosed broke reveal breaks break revealing reveals expose disclose exposing exposes revealed exposed breaking
Synset('route.v.02')	routing route
Synset('attack.v.05')	attacks attack attacked attacking
Synset('undergraduate.n.01')	undergrad undergraduate
Synset('tell.v.02')	telling told
Synset('consequence.n.02')	consequence consequences
Synset('delete.v.01')	canceled deleted deleting delete
Synset('member.n.01')	members member
Synset('automobile.v.01')	automobile automobiles
Synset('belief.n.01')	belief beliefs
Synset('yard.n.07')	yard yards
Synset('property.n.04')	attributes attribute dimension dimensions
Synset('menu.n.03')	menus menu
Synset('chain.n.03')	chain chains
Synset('lp.n.01')	lp lps
Synset('egyptian.n.02')	egyptians egyptian
Synset('attack.v.03')	attacks attack attacked attacking
Synset('wording.n.01')	phrasing wording
Synset('date.n.07')	date dates
Synset('consultation.n.02')	consultation consultations
Synset('semiconductor.n.01')	semiconductor semiconductors
Synset('equivalent.n.01')	equivalent equivalents
Synset('proportion.n.01')	proportion proportions
Synset('sinner.n.01')	sinner sinners
Synset('scan.v.05')	scans scanned scan
Synset('transfer.v.01')	transferred transfer
Synset('idol.n.01')	idol god idols
Synset('icon.n.01')	icon icons
Synset('study.v.03')	considers considered
Synset('watch.n.02')	watches watch
Synset('cartridge.n.01')	cartridge cartridges
Synset('raven.v.02')	predates preying
Synset('volume.n.06')	volume intensity volumes
Synset('develop.v.19')	developing develop developed develops
Synset('mind.n.06')	minds mind idea ideas
Synset('snap.v.03')	snapped cracked
Synset('restraint.n.01')	restraints restraint
Synset('tapdance.v.01')	tapes tapped taped tap tapping taps
Synset('poor.a.04')	poorer poor
Synset('gene.n.01')	gene genes factor factors
Synset('fire.v.06')	fired fires firing fire
Synset('communicate.v.05')	communicate communicated communicating
Synset('wind_instrument.n.01')	winds wind
Synset('wonder.n.02')	marvel wonders
Synset('raise.v.15')	prove proven
Synset('risk.v.01')	risks risking risk risked
Synset('antibody.n.01')	antibody antibodies
Synset('pickup.n.08')	pickup pickups
Synset('bigot.n.01')	bigot bigots
Synset('back.v.10')	backing back
Synset('find.v.05')	feels found finds find findings felt feel finding
Synset('slope.v.01')	pitching slope
Synset('guarantee.n.02')	guarantee guarantees
Synset('station.v.01')	stationed station send
Synset('suicide.n.01')	suicides suicide
Synset('still.v.03')	ease relieve relieved
Synset('man.n.03')	men man
Synset('requital.n.02')	payments payment
Synset('outline.n.01')	outlines outline
Synset('presentation.n.07')	presentation presentations
Synset('book.n.06')	books book
Synset('submit.v.03')	submitting submitted submit
Synset('inflate.v.03')	inflate inflated
Synset('power.v.01')	powering powered power powers
Synset('trailing.n.01')	trailing tracking
Synset('county.n.01')	county counties
Synset('obligation.n.05')	obligation obligations
Synset('automatic_pistol.n.01')	automatic automatics
Synset('study.v.02')	study studying studies
Synset('paper.n.01')	paper papers
Synset('resource.n.02')	resource resources
Synset('trailer.n.04')	trailer trailers
Synset('perspective.n.02')	perspectives perspective
Synset('reckon.v.06')	count counted
Synset('usher.v.01')	shows shown showed show showing
Synset('combustion.n.01')	burning combustion
Synset('shape.n.01')	configuration configurations contour
Synset('discount.v.02')	discounts discount
Synset('rouge.n.01')	paint rouge
Synset('woman.n.02')	woman women
Synset('significant.a.01')	important significant
Synset('set.n.05')	lot lots set bands
Synset('lord.v.01')	lord lords
Synset('calculator.n.02')	calculator calculators
Synset('organize.v.04')	coordinate organize organized coordinates organizing coordinated
Synset('major.n.01')	majors major
Synset('corps.n.01')	corpses corps
Synset('integration.n.01')	integrating integration
Synset('affiliate.v.02')	affiliated affiliate
Synset('travel.v.06')	travelling travels traveling travel
Synset('guidance.n.01')	counsel directions guidance direction
Synset('principal.n.06')	principal dealer dealers
Synset('document.v.02')	documenting documents document documented
Synset('tie.v.02')	tied tying drawn
Synset('leak.v.04')	leaks leak leaking
Synset('list.v.02')	listed list
Synset('opportunity.n.01')	opportunity opportunities
Synset('submit.v.02')	stating stated
Synset('inflate.v.04')	inflate inflated
Synset('kale.n.02')	coles cole
Synset('slice.v.02')	slices sliced slice
Synset('respect.v.02')	honoured respecting respected respect honors
Synset('lot.v.01')	lot lots
Synset('ion.n.01')	ion ions
Synset('visit.v.01')	visiting sees visited
Synset('conversion.n.05')	conversions conversion
Synset('interest.v.01')	interest interesting interested
Synset('box.v.02')	boxes box
Synset('rat.n.01')	rat rats
Synset('spook.v.01')	spook spooks
Synset('shape.n.02')	form shape shapes
Synset('number.n.01')	figure figures
Synset('snap_up.v.01')	grabbed grab
Synset('representation.n.04')	agency agencies representation
Synset('three-d.n.01')	3d 3ds 3-d
Synset('text_file.n.01')	documents document
Synset('scanner.n.02')	scanners scanner
Synset('submission.n.01')	entry entries submissions submission
Synset('reinstall.v.01')	reinstall reinstalling reinstalled
Synset('question.v.03')	question query queries
Synset('give.v.18')	devote give dedicated devoted committed committing commit commits
Synset('provide.v.07')	providing provide provided
Synset('run.v.19')	running run executed executing execute runs ran
Synset('intimate.v.01')	intimate insinuating
Synset('shoot.v.01')	hits hit shooting shoot hitting
Synset('formula.n.04')	formulae formulas formula
Synset('interval.n.02')	intervals interval
Synset('trader.n.01')	traders dealer dealers
Synset('relax.v.05')	relaxed relax
Synset('season.n.01')	seasons season
Synset('document.v.01')	documents document documented
Synset('definition.n.01')	definition definitions
Synset('vegetable_oil.n.01')	oil oils
Synset('tap.n.04')	tap taps
Synset('shanghai.v.01')	impress impressed
Synset('worship.n.01')	worships worship
Synset('pay.v.09')	paying paid pay pays
Synset('evasion.n.03')	escapes evasion escape
Synset('specification.n.01')	specs spec
Synset('memorize.v.01')	learn learned learning
Synset('wish.v.02')	liking caring cared wished wishes wishing likes care
Synset('ask.v.05')	asked asks
Synset('submit.v.06')	defer submit
Synset('processor.n.01')	processors processor
Synset('get.v.01')	acquire acquired
Synset('grade.v.04')	grading grade graded grades
Synset('skill.n.01')	skills skill accomplishments acquisition
Synset('repeat.v.04')	repeats repeat echoed echo repeated echoing
Synset('class.n.07')	classes class
Synset('ritual.n.01')	rites rite
Synset('comparison.n.01')	comparison comparisons comparing
Synset('visit.n.01')	visits visit
Synset('meeting.n.04')	meetings meeting
Synset('expectation.n.03')	expectations expectation
Synset('satellite.v.01')	satellites satellite
Synset('matter.n.03')	matters matter
Synset('conversion.n.02')	conversions conversion
Synset('simple.a.01')	simplest simple simpler
Synset('gloss.v.02')	comments commenting commented
Synset('trial.n.04')	trials trial
Synset('nurse.n.01')	nurse nurses
Synset('nickel.n.01')	nis ni
Synset('volunteer.n.01')	volunteer volunteers
Synset('danger.n.01')	dangers danger
Synset('harmony.n.03')	harmony concordance concord
Synset('press_out.v.03')	expressing express expresses expressed extracted
Synset('wave.n.06')	waves wave
Synset('sport.n.02')	sports sport
Synset('slap.v.01')	slapped slap
Synset('reconciliation.n.02')	balancing reconciliation
Synset('limit.n.01')	boundary bound bounds boundaries
Synset('religious_doctrine.n.01')	gospels gospel creeds creed
Synset('disturbance.n.05')	disturbance disturbances
Synset('govern.v.04')	governing govern governed
Synset('decoder.n.01')	decoders decoder
Synset('roast.n.01')	joint joints
Synset('residential_district.n.01')	community communities
Synset('reach.v.04')	contacted contacting reach reached contact reaching contacts
Synset('statement.n.03')	statement statements
Synset('confuse.v.01')	confused confuses confuse confusing
Synset('ball.n.01')	ball balls
Synset('summation.n.04')	additions addition pluses
Synset('operate.v.03')	operate operates operated control operating
Synset('respect.n.01')	regard respect
Synset('sermon.n.01')	preaching sermon discourse
Synset('two.n.01')	ii 2s iis
Synset('chamber.n.02')	chamber chambers
Synset('resource.n.01')	resource resources
Synset('hair.n.01')	hair hairs
Synset('rib.n.02')	costa rib ribs costas
Synset('stamp.v.02')	stamp stamped stamps
Synset('tour.v.01')	touring tour
Synset('significance.n.02')	significance implications imports import implication
Synset('flower.n.02')	blooms flowers bloom
Synset('article.n.01')	articles article
Synset('transfer.v.06')	transferring transferred transfer change changing changed
Synset('hood.n.02')	cap caps
Synset('set.n.07')	set sets
Synset('tube.v.04')	tube tubes
Synset('item.n.03')	item items
Synset('fail.v.08')	fail failing failed fails
Synset('empower.v.01')	authorized authorize
Synset('script.n.01')	books book scripts script
Synset('read.v.03')	readings read reads reading
Synset('body.n.02')	bodies body
Synset('presentation.n.03')	presentation presentations
Synset('call.v.22')	call called calls calling
Synset('question.v.01')	question questioning questioned questions
Synset('sieve.n.01')	screens screen
Synset('writer.n.02')	writer writers
Synset('profit.v.01')	gaining benefits gained gaines benefit gain
Synset('conversion.n.09')	conversions conversion
Synset('store.n.02')	fund stores funds store
Synset('poise.v.04')	balancing balanced
Synset('roof.n.01')	roof roofs
Synset('violation.n.02')	violations violation infringement
Synset('heading.n.01')	head headers heading headings header heads
Synset('shotgun.n.01')	shotguns shotgun
Synset('drive.n.09')	drives drive
Synset('schedule.v.02')	schedule scheduled schedules scheduling
Synset('subcontract.v.01')	jobs job
Synset('pouch.n.03')	pockets pouch pocket
Synset('regulator.n.01')	regulator regulators
Synset('theology.n.01')	divinity theology
Synset('happen.v.02')	happen happening happened
Synset('playing_period.n.01')	play plays
Synset('dissolve.v.10')	dissolve dissolved
Synset('clitoris.n.01')	button buttons
Synset('taste.n.06')	tastes taste
Synset('reader.n.08')	readers reader
Synset('visit.v.04')	visiting visited inspect visit inspected
Synset('scandal.n.01')	scandal dirt
Synset('phenomenon.n.01')	phenomenon phenomena
Synset('identify.v.06')	identified identify
Synset('comet.n.01')	comet comets
Synset('explode.v.06')	exploding explodes explode
Synset('window.n.01')	window windows
Synset('move.v.02')	move moves moved displaced moving
Synset('contentedness.n.01')	contents content
Synset('violate.v.01')	violated broken broke violates breaks break violate violating breaking
Synset('philosopher.n.02')	philosopher philosophers
Synset('slave.v.01')	slave slaves
Synset('narrow.v.01')	contracted narrow
Synset('smash.v.02')	smashed smashing
Synset('group.v.01')	groups group
Synset('avoid.v.01')	avoided avoids avoid avoiding
Synset('consort.v.01')	assorted associates affiliated
Synset('falsification.n.03')	falsehoods falsehood
Synset('asteroid.n.01')	asteroids asteroid
Synset('speculate.v.02')	speculated speculate speculating
Synset('statement.n.01')	statement statements
Synset('regulator.n.02')	regulator regulators
Synset('deal.n.07')	deal deals
Synset('relation_back.n.01')	relations relation
Synset('run_batted_in.n.01')	rbi rbis
Synset('survey.v.05')	survey surveyed
Synset('attraction.n.02')	attraction attractions
Synset('mistake.n.01')	mistake mistakes error errors
Synset('rescue.v.01')	rescued rescue
Synset('branch.n.02')	branches branch
Synset('mouth.v.02')	mouth mouths
Synset('type.n.06')	types type
Synset('issue.n.01')	issue issues
Synset('outlaw.v.01')	outlaws outlaw outlawing outlawed
Synset('confront.v.04')	confront confronted
Synset('strike.v.14')	striking scratching scratched scratches struck scratch
Synset('pain.n.01')	pain hurting pains
Synset('view.n.03')	surveys sight survey views
Synset('offer.v.01')	offer offers offered
Synset('saying.n.01')	sayings expression expressions
Synset('shark.n.01')	shark sharks
Synset('ticket.n.01')	tickets ticket
Synset('hate.v.01')	hating hate hated
Synset('window.n.02')	window windows
Synset('nature.n.04')	natures nature
Synset('musical_instrument.n.01')	instruments instrument
Synset('solder.v.01')	soldered soldering solder
Synset('drive.n.07')	drives drive
Synset('practice.n.05')	practice practices
Synset('submit.v.01')	subjected subject
Synset('stove.n.01')	stoves stove
Synset('gain.n.04')	gains gain
Synset('zone.v.01')	zone district districts
Synset('reproduce.v.02')	reproduce reproduced multiply
Synset('jew.n.01')	israelites jews hebrew jew israelite hebrews
Synset('body.n.04')	bodies body
Synset('stream.v.01')	stream streams
Synset('wrench.v.01')	twisted twist twisting wrench
Synset('customize.v.02')	customized customize
Synset('smash.v.01')	nailed blast
Synset('sitting.n.01')	posing sitting
Synset('reach.v.07')	made reach reached
Synset('motorcycle.n.01')	motorcycle bikes motorcycles bike
Synset('savings_bank.n.02')	bank banks
Synset('touch.v.01')	touched touch
Synset('corporation.n.01')	corp corporation corps corporations
Synset('tooth.n.01')	teeth tooth
Synset('trust.v.01')	trust swore relies relied trusted rely relying trusting sworn swear
Synset('hotel.n.01')	hotels hotel
Synset('probe.v.02')	probes probe
Synset('batter.n.02')	batter batters
Synset('uncover.v.02')	uncovered exposed
Synset('pawl.n.01')	dogs clicks dog click
Synset('trick.n.03')	tricks trick
Synset('tail.n.05')	shadow shadows
Synset('technology.n.01')	technologies engineering technology
Synset('soldier.v.01')	soldier soldiers
Synset('jurisdiction.n.02')	jurisdiction jurisdictions
Synset('speciate.v.01')	specialized differentiate specialize
Synset('trip.n.01')	trip trips
Synset('formulation.n.03')	expression formulation
Synset('pretend.v.03')	pretending pretend
Synset('represent.v.04')	represents representing represented represent
Synset('survive.v.01')	survive living enduring surviving survives survived lived endure lasted lasting live
Synset('simulate.v.03')	assuming assume simulate
Synset('microbe.n.01')	bugs bug
Synset('rendition.n.04')	interpretation rendering interpretations
Synset('generation.n.02')	generation generations
Synset('transportation.n.02')	transports transfer transfers transport transportation
Synset('protective_covering.n.01')	protections protection
Synset('cleansing_agent.n.01')	cleaners cleaner
Synset('waste.n.05')	waste wastes
Synset('walk.v.10')	walks walked walking walk
Synset('substance.n.01')	substances substance
Synset('challenge.n.02')	challenges challenge
Synset('young.a.01')	younger young immature
Synset('twilight.n.01')	falls fall
Synset('casting.n.03')	cast casts casting
Synset('type.n.03')	types type
Synset('refutation.n.01')	defence defense refutation
Synset('veteran.n.02')	veterans vet veteran
Synset('writer.n.01')	author writers authors
Synset('production_line.n.01')	line lines
Synset('have.v.02')	features featured featuring
Synset('pique.v.01')	offending offended offend
Synset('formula.n.01')	formulae formulas formula
Synset('tongue.n.01')	tongues tongue
Synset('organize.v.02')	organize organized organizing
Synset('presentation.n.06')	presentation intro presentations introduction
Synset('cry.v.07')	cries cried crying cry
Synset('diagnosis.n.01')	diagnosis diagnoses
Synset('facility.n.04')	facilities facility
Synset('lover.n.03')	lover lovers
Synset('remedy.v.02')	remedies remedy
Synset('topographic_point.n.01')	places spot spots place
Synset('survive.v.02')	survive surviving survives survived
Synset('ask.v.02')	asked asks
Synset('company.n.02')	companies company
Synset('network.n.05')	networks network
Synset('unorthodoxy.n.01')	heresies heresy
Synset('commander.n.02')	commander commanders
Synset('marshall.n.02')	marshall marshalls
Synset('believe.v.01')	believes believed believing
Synset('resume.v.01')	resume restarting restart resumed resumes
Synset('shine.v.02')	shines beams beam shining shine
Synset('orientation.n.03')	orientation orientations
Synset('probability.n.01')	chance chances probability probabilities
Synset('machine.n.01')	machine machines
Synset('declare.v.06')	declared declares declare declaring
Synset('passage.n.03')	passage passages
Synset('seed.v.05')	seed seeds
Synset('hope.n.02')	hopes hope
Synset('disciple.n.01')	disciple adherents disciples
Synset('monitor.n.06')	monitor monitors
Synset('shoe.n.01')	shoes shoe
Synset('publisher.n.02')	publisher publishers
Synset('think_of.v.04')	meant means
Synset('want.v.04')	wanting wanted
Synset('lawyer.n.01')	lawyers attorney attorneys lawyer
Synset('increase.v.01')	increases increased increasing increase
Synset('murderer.n.01')	murderers murderer
Synset('review.n.04')	reviews review
Synset('flush.v.07')	flush flushing
Synset('reciprocal.a.01')	mutual reciprocal
Synset('short_circuit.n.01')	short shorts
Synset('warm.v.02')	warm warming
Synset('suspect.v.01')	suspected suspect suspects
Synset('investigate.v.02')	inquire investigate investigated
Synset('microwave.n.01')	microwaves microwave
Synset('procedure.n.04')	procedures procedure
Synset('megabyte.n.01')	mb ms megabyte
Synset('head.n.26')	head heads
Synset('be.v.01')	beings bees
Synset('check.v.05')	checking checks checked check
Synset('hook.v.04')	hook hooked hooks hooking
Synset('shock.n.04')	shock shocks
Synset('constant.n.02')	constant constants
Synset('link.n.06')	link links
Synset('infection.n.03')	infection infections
Synset('doorbell.n.01')	doorbell bell
Synset('interview.n.01')	interview interviews
Synset('sink.v.04')	settle sank
Synset('ride.n.02')	rides ride
Synset('encode.v.01')	encode encoded
Synset('steroid.n.01')	steroids steroid
Synset('stay.v.01')	rest stayed remain staying remained rests remains remaining rested stay
Synset('cracker.n.01')	cracker crackers
Synset('child.n.03')	children childs child
Synset('policeman.n.01')	policemen policeman
Synset('colon.n.01')	colon colons cola
Synset('metric_function.n.01')	metric metrics
Synset('cry.n.05')	cries cry
Synset('panic.v.02')	panicking panic
Synset('variation.n.03')	variations variation
Synset('world.n.02')	world domain domains
Synset('network.n.04')	networks network
Synset('serve.v.07')	served serve serving
Synset('tick.n.02')	ticks tick
Synset('terrorist.n.01')	terrorists terrorist
Synset('express.v.07')	expressing express expresses expressed
Synset('messenger.n.01')	messengers courier messenger
Synset('catholic.n.01')	catholics catholic
Synset('whine.v.03')	whine whining
Synset('publisher.n.03')	publisher publishers
Synset('keyboard.n.01')	keyboard keyboards
Synset('manipulate.v.02')	manipulating manipulated manipulate
Synset('mosque.n.01')	mosque mosques
Synset('symbol.n.01')	symbol symbols
Synset('log.n.05')	log logs
Synset('want.v.03')	wanting wanted
Synset('switch.v.04')	switching shift shifted shifting
Synset('supplier.n.01')	suppliers provider supplier providers
Synset('utility_program.n.01')	utility utilities
Synset('screw.v.03')	screwed screwing screw
Synset('wink.v.04')	blinking blink
Synset('rear.n.05')	rear back backs
Synset('testis.n.01')	ball eggs egg nuts balls nut
Synset('geld.v.01')	cut cutting
Synset('turn.n.03')	play plays turn turns
Synset('track.n.07')	track tracks
Synset('tuberculosis.n.01')	tbs tuberculosis tb
Synset('resistance.n.01')	opposition resistances resistance
Synset('ideal.n.01')	ideals ideal
Synset('organization.n.04')	organization organizations organisation
Synset('stroke.n.01')	shots shot
Synset('watch.v.03')	watch viewed views viewing
Synset('president_of_the_united_states.n.02')	presidents president
Synset('suffer.v.06')	suffer suffers hurts suffered suffering hurting hurt
Synset('arrow.n.02')	arrow arrows
Synset('sink.v.03')	pass passed
Synset('plug.v.04')	plugs plug plugged plugging
Synset('windsock.n.01')	sock socks
Synset('recommendation.n.01')	recommendation recommendations
Synset('plaintiff.n.01')	plaintiff plaintiffs
Synset('wardrobe.n.01')	closet wardrobe press
Synset('weigh.v.03')	weigh weighs weighing weighed
Synset('head.n.01')	head heads capita
Synset('diet.v.02')	diet diets
Synset('tank.n.01')	tanks tank
Synset('return.v.01')	returning returns returned return
Synset('dish.n.01')	dish dishes
Synset('saint.n.01')	saint saints
Synset('rich.a.02')	richer rich
Synset('landing.n.03')	landing landings
Synset('parentage.n.02')	birth births
Synset('blow.v.14')	blowing blew blows blown blow
Synset('performance.n.03')	execution performance performances
Synset('arsenal.n.02')	armory arsenal
Synset('pervert.n.01')	deviant deviants degenerate
Synset('name.v.02')	identifies named identifying identified names identify naming
Synset('persona.n.02')	image images
Synset('want.v.02')	wanting wanted needed requiring needing require required requires
Synset('push.v.08')	pushed push pushing
Synset('smooth.a.03')	smoother smooth
Synset('victory.n.01')	triumph victories victory
Synset('read.v.05')	read reads reading
Synset('worry.v.03')	worry worries worrying worried
Synset('talk.v.01')	talked speaking speaks speak talk talking
Synset('situation.n.02')	position situation situations
Synset('quiet.a.01')	quiet quieter
Synset('hacker.n.02')	hacker hackers
Synset('explore.v.02')	exploring explore explored
Synset('denomination.n.01')	denominations denomination
Synset('game.n.05')	game games
Synset('readiness.n.01')	preparations readiness preparation
Synset('retain.v.02')	keeping continue continues retain continued retaining continuing
Synset('insight.n.03')	insight insights
Synset('scorer.n.01')	scorer scorers
Synset('iowa.n.02')	iowa ia
Synset('convention.n.05')	convention conventions
Synset('innocent.n.01')	innocent innocents
Synset('pass.n.04')	passes pass notch
Synset('tellurium.n.01')	te tes
Synset('lamp.n.02')	lamps lamp
Synset('suit.v.01')	suited accommodate fits fitted
Synset('priest.n.01')	priest priests
Synset('mislead.v.01')	misleading mislead misled misguided
Synset('pill.n.05')	pills pill
Synset('documentation.n.01')	documentation certification
Synset('overwork.v.02')	overworked exploits
Synset('directory.n.01')	directories directory
Synset('saint.n.02')	saint angels angel
Synset('emotion.n.01')	emotion emotions
Synset('monster.n.01')	monsters monster
Synset('symmetrical.a.01')	symmetrical symmetric
Synset('shuffle.v.03')	mixing mixed shuffle mix
Synset('vivification.n.02')	animations animation
Synset('expect.v.01')	expecting expect anticipate expected expects
Synset('depository_financial_institution.n.01')	bank banks
Synset('landing.n.04')	landing landings
Synset('notice.n.04')	notices notice
Synset('nail.v.01')	nail nails nailed
Synset('express.v.05')	expressing express expressed
Synset('belt.n.02')	belt belts
Synset('construction.n.01')	buildings building
Synset('pry.v.01')	prized pry prizes lever jimmy prize
Synset('winner.n.01')	winners winner victor
Synset('promotion.n.03')	advancement promotion
Synset('file.n.04')	file files
Synset('track.n.09')	rail track tracks
