Synset('november.n.01')	november denver nov
Synset('grant.n.08')	grants science grant
Synset('concentrate.n.02')	concentrates concentrate
Synset('carry.v.05')	carried carries carry carrying
Synset('twilight.n.01')	falls fall integral potential
Synset('casting.n.03')	cast casting
Synset('type.n.03')	types shunt problem find change classifier distinct hyperplane type popular
Synset('lotion.n.02')	application successful applications
Synset('inhibit.v.03')	inhibiting inhibited inhibit inhibits
Synset('production_line.n.01')	outputs dashed measured fin receptive complementary input/output thick number dx shown lem results connections solid test method bottom posterior input square delay system hidden plotted line experiments vertical training learning global wave prevent lot top parallel rate array lines 30 dotted scaling middle center command consisting diagonal li gaussian
Synset('actuator.n.01')	actuator actuators
Synset('theory.n.01')	complexity references inference corn acm learning trees tic saul coding induction 1992 function sm communication introduction neuroscience vapnik estimation vision provide unified contrast theories information theory mathematical
Synset('imply.v.01')	implying imply implies
Synset('scale.n.10')	scales scale
Synset('player.n.01')	players player participants
Synset('shrink.v.04')	shrink shrinks
Synset('run.v.01')	batch run training simulations running propagation converges exemplars k-means consists model lines unbounded epochs runs ran algorithm
Synset('adaptive.a.01')	scientist simple nonlinear carpenter local output adaptive measures 1995 shown generated presented noise barto grossberg fuzzy means velocities gelfand lowe robust individual solutions hybrid generalization 1960 unsupervised turning continuous-time hoff firing transistor
Synset('formula.n.01')	formulas formula
Synset('organize.v.02')	memory organize organized organizing extending
Synset('physics.n.01')	1987 journal physics york
Synset('presentation.n.06')	cord assessed system systems intro learnable classifier analysis introduction traffic network
Synset('validation.n.01')	cross validation
Synset('steering.n.02')	current steering
Synset('diagnosis.n.01')	adaptive diagnosis
Synset('facility.n.04')	facilities explanation
Synset('imply.v.02')	implying implied imply implies
Synset('converge.v.02')	converged dent guarantee cycles error iterations simulations converges 1994 converge optimization noise algorithm converging
Synset('strengthen.v.01')	strengthening strengthen strengthened
Synset('topographic_point.n.01')	mediated places problem selection spot spots place takes approach temporal leakage
Synset('survive.v.02')	survive surviving
Synset('cost.n.01')	costs cost
Synset('dependent.a.01')	pairing temperature dependent network voltage
Synset('neodymium.n.01')	images bu cognitive sse accurate classifier
Synset('syndrome.n.02')	syndrome box
Synset('influence.n.05')	influences influence
Synset('company.n.02')	companies company
Synset('network.n.05')	connected small interconnected neural pattern stochastic learning synapse networks recurrent neuromorphic network
Synset('process.n.05')	process processes
Synset('alignment.n.04')	alignments vertical alignment
Synset('believe.v.01')	researchers leading 0.02 believed networks
Synset('resume.v.01')	restart restarted restarts
Synset('compromise.v.01')	powerful compromise
Synset('shine.v.02')	beams beam
Synset('impossible.a.01')	impossible dependencies
Synset('reduction.n.02')	ij test dimensionality reductions performing conversely training significant error encoder ity leen farley regression redundancy combined power reduction reducing potential moving
Synset('organization.n.06')	figure organization
Synset('cue.n.01')	cue wta noise cues
Synset('titanium.n.01')	ti patterns
Synset('tamper.v.01')	monkeys monkey
Synset('orientation.n.03')	orientation iso discussed satisfied change upper orientations vertical experimental mixed distribution chung resulting 285 cytochrome smoothness mel rate members perceptual rel map relative
Synset('combine.v.05')	binary combining combined
Synset('review.v.05')	reviewing reviewed
Synset('probability.n.01')	constant run axis high solution estimate probabilities i.e probability posterior chances 005 fixed flipping conditions approximates average increased line classes priori derive network uniform extinction 336 observations reinforcement behavior depiction st figure variables hoeffding chance initial subjects arbitrary positive nonzero reverse cumulative transition 0.2 firing permissible maximum 0.8 combined
Synset('machine.n.01')	predictors medical variational conference sequential methods pattern recognition eligibility learning autonomous boltzmann repository sun improved negative optimization osuna ackley international temporal matlab boosting workshop 1986 self-organizing machine difference machines
Synset('seed.v.05')	seed seeds
Synset('interaction.n.02')	wiesel horizontal modify effect additional interaction weight learning significant interactions direction
Synset('interconnection.n.02')	random neural interconnection weight interconnections synaptic
Synset('hope.n.02')	paper hope
Synset('pose.n.02')	pose poses
Synset('superposition.n.03')	measured superpositions superposition bounds intracellular
Synset('terminal.n.02')	dominant poles distinct terminal pole terminals efficacy
Synset('publisher.n.02')	morgan academic publishers
Synset('bit.n.06')	input 256 million activity 1024 cortical bits sign information bit
Synset('feed.v.06')	ate fed feeding feeds
Synset('trap.n.01')	hits trap hitting
Synset('whole.n.02')	die blank hidden adaptation unimodal units matrix bit output number mixture excites reinforcement recurrent table corre computational receive linear determine individual motion epsp aj inhibition maximal quality target special entry input unit due sigmoid activities leads subnetwork detecting receives user
Synset('coincide.v.03')	discontinuities coincide coincides symbols
Synset('increase.v.01')	exponential offers obtain increased numerically increase a1 increases increasing effect complex 91 results 97
Synset('underscore.v.01')	emphasizes emphasized emphasize
Synset('source.n.07')	cur 1996 current types programmable sources pulse source energy
Synset('review.n.04')	interpolation entropy psychological reviews ical review model physical distributions monte-carlo requires
Synset('reciprocal.a.01')	output average mutual quantized raw reciprocal opper ten
Synset('drawing.n.01')	drawings drawing
Synset('short_circuit.n.01')	normal tone inhibition short present voltage
Synset('association.n.07')	associations statistical pattern association learning
Synset('investigate.v.02')	image experiment cat structures proportional investigate manipulated investigated investigates
Synset('synthesizer.n.02')	synthesizer waveform
Synset('carry.v.24')	carried carry
Synset('megabyte.n.01')	mb ms
Synset('appear.v.06')	mapping method large neural 16 curve tested stimulus orientations neuron accuracy echo appears fail vision minimal discrepancies appeared appearing
Synset('reasoning.n.01')	symbolic memory-based 304 reasoning perform
Synset('planning.n.02')	planning control
Synset('be.v.01')	functions chips optimal objects accuracy resolution setting equations score contributions vii visual circuitry combinatorial energy solid squares spreading acknowledgements shapley analysis synapses selection size left detail wind object poorly statistical criterion notable turn matrix arcs result currents behavior close policy hand sweep preferences sets learn pruned descent t-distribution grating trials decreases winnow information combined axon jeremy acknowledgement evidence inputs belonging tij layers discrimination chaining weighted predicted constructive clearer voltages parser vowel loose scenes activation neural divided representation pca previously mixture projection reinforcement lines potentials drifting blocks transistors multiple perform label recorded improvement ments gaussian configurations averaging channel approach gradually number block magnitudes order algorithm splitting similar mapping shape testing ahp distributed system glint restriction orders partial algorithms circuit tone cell representations intensities local segments noise decisions outcome linear question speedup inaccuracy dendrite noisy weighing sharp future firing preceding 427 feed-forward attributes constraint outputs detectors simplifies points identical saturation biggest generalizations symmetry members function choppers buffer net traffic separable comparison real basis differed 200 unit hybrid 0,1 amplifier basic leakage straight-forward 5000 latency technique potts units times primitives feedforward design coincidence lane direction ans rates tti specific fukunaga autocorrelation quantitative activities strategy respond reversed moderately accurate collaterals shift neuron echo lanes state events drift models separately codeword correlations demand amplitudes input jitter comparisons difference complexity increased argued odor networks battery facts cascode routing lgn notion found desired takes mechanism situation genetic bandwidth gradient optimum sensitivities ppr clas speech dataset discretization fashion asr principle spaced lij research features view white neighbors segment tile things overlaps expansions recurrent results estimates tension weight significant expressions imaging odors technologies signals harrison spaces worst fixed neighborhood assume parameters memory hidden classes concept show description updates settling newton minimal negative central early enhance delivery sensing evaluations gradients start momentum target mappings curves silicon sigmoid nervous backpropagation criteria program pals issues required pus lms temperatures connectivity auditory probabilities 1979 plan circuits case hardware tion sessions images mirrors probability conclusions theoretic limiting lowest variances 1989 care study log pattern exercise formation layer vehicle unknown gain 1998 freedom low categories architecture means prob initial display adversary sperling grid randomly levels transistor statistics small dac section cycles simple assumptions dam shows shown fet denote presented percentage potential resist tree binomial produced important vectors nerve daily produces yll hypersphere vertically crucial values investigations necessarily point general candidate parallel sumption wij visually david mentioned matrices dimension move process ues original stimulus ltp velocity approaches fellowship increase recommended a2 variance suggestions frequencies fitting simply equivalent fig ambiguous synaptic offer fit bat stimuli synchronizing draft exemplar rank resistor bees ab ac af metropolis pass impact ai active activa c2 population aq aw plant domain assigned smear relative average scheme bl bn bp transparent adaptive search spacing systems conduction term panel mind chip cf set dots ci summing encodings epsp subjects words column dendrites cl procedure sample constrained cs ct fly spectrogram stage maximum phenomena db de performs superposition added questions corpus developed cues exemplars prior useless sgn signal train bayesian image ei test patterns em 2000 eq graph propagation burst x-axis cursor fi waiting session additional parallelism fn fo training oae passes load rate sim alpha hemisphere class views attended overfitting gi practical pyramidal i1 length counter trajectory form setup gate humans subset expert select simulation bin answers hope tracking improved output balance ia revealed classifier easily action model text animals spatial large dependency made lower winner-take-all integrand schemes classification resulting distributions field contents 3.2 interval summed works inference curve pursuit minimized sequences hysteresis mae world strings y-axis member kd ability map ki table implementations 0.80 change systematic ment corrected snapshots 543 machine discontinuities stuart selectivity spectral ln fur n1 constant dimensional quadrants subject soc recognition sign lu main receptive high solution sufficient classifiers limit selected mcmc wavelength mn approximation level ms author difficult synapse weights experiences relevant entry task null directions strengths background true prediction position 1.9 present problems nn p2 code bor paradigm movements appears storage total magnitude falling processes equation deviation compositions structure poggio intensity receptor shaded spatially conventional sensory ipsp carlo clustering properties vary pu readily coherent upper adaptation periodically constraints objective observed photoreceptors dynamics character fire band chopping temporal 10 11 14 17 18 received rc node rf generalization ri processing obtained starting captor rr motor rt components 25 access 26 activity primitive 27 examine experiments 0x global long current si temperature sm vector operating sr measurements landscapes variables expression middle decision strategies started svm simulations connected single extensive ti mismatch cochlear progress operation partially agent joint modulation 49 ica approximate rules inside independence synchrony neurons 3a pairs 3b spike frequency presentation greedy details dynamic extreme commands distractor richness maps solutions multiplier finding modification modelling discrete mlp bursts channels support internet bethesda idea recording rule learning conductance speed judgements ipsps common interest potentiation nonlinearities definition performances 75 clusters characteristics figure types cases previous inhibition argue filters olshausen voltage cells pairing renormalization 80 step 85 codewords xx software loess afferents axes foreground type degrees loss problem filtered optimization terms 90 proof phase competing goal method work m.i reduced samples zi exist examples force sensitivity word theory extension regions columns range ous distribution fets axons orthogonal feature recall continues place established observation transformation filter expect depth elements interneuron responses dispersion minimum runs dashed argument data owl sound threshold axis pole space growing inferred associative mechanisms development asymptotically individual bottom mining decoder sequence proposed techniques ground vlsi purpose eeg line distinct membership error differential network minima numerical trace operations paper array parameter studies track inverse time-domain orientation ing quantity computations motion advantage studied implementation groups efficacy performance response
Synset('deteriorate.v.01')	ate deteriorates deteriorate arrangements
Synset('check.v.05')	checking checks checked check
Synset('establishment.n.06')	radar establishment
Synset('female.n.01')	females female
Synset('rotational_latency.n.01')	effects neural latencies latency short long
Synset('constant.n.02')	outputs firings classify constant membrane computed strength equipped pattern blur range piecewise training tune output rate block constants spatial factor radius case order product lime fairly positive velocity filters increase 4b 4c approximately
Synset('interpolation.n.02')	interpolation surface multi-dimensional 1992 applicable
Synset('link.n.06')	incoming introduce additional link final match links units message network
Synset('enhance.v.02')	enhancing enhanced increasingly expect enhances ltp selectively mechanism cues enhance
Synset('chemistry.n.01')	chemistry physiology
Synset('surface.n.01')	surface surfaces
Synset('service.v.01')	result serves served serve serving
Synset('excite.v.08')	excited excite
Synset('prevent.v.02')	prevent components preventing keeping made effectively term threshold prevents prevented frequencies
Synset('value.v.01')	valued continuous
Synset('encode.v.01')	encode unit optimally appropriately encodes encoded spike
Synset('stay.v.01')	cortex resting student remain temporarily remained training remains residual neurons predictions remaining network kin artificial plain ratios signal
Synset('repetition.n.03')	repetition repetitions bars
Synset('hold.v.14')	borne born carry
Synset('metric_function.n.01')	figure statistical metric solutions rule mimic information metrics log-likelihood
Synset('abstraction.n.06')	abstraction abstractions
Synset('efficient.a.01')	image computationally making 14 data efficient neuronal learning
Synset('variation.n.03')	slow reflectance variations variation
Synset('world.n.02')	world domain
Synset('predate.v.01')	exposure precede stimulus precedes preceding preceded detail
Synset('tick.n.02')	ticks tick
Synset('wrath.n.02')	ira ire circuits
Synset('deviate.v.03')	deviate deviates
Synset('unit_of_measurement.n.01')	cc standard competing cluster outperform hidden pu require units differ chosen output single homogeneous number input unit 0,1 excites cosine stochastic 40 selecting algorithm
Synset('publisher.n.03')	morgan systems publishers norwell kluwer
Synset('ear.n.01')	ears ear
Synset('pace.n.01')	gait gaits
Synset('manipulate.v.02')	manipulating manipulated manipulate
Synset('symbol.n.01')	symbol filled symbols
Synset('bit.n.05')	3t static dram bits bit packed resolution states exponent
Synset('temporary_hookup.n.01')	patch functional overlapping patches inhibitory bulb spatial local
Synset('trace.v.02')	approximately describing delineated describe describes
Synset('log.n.05')	yi shows log rz iff 160 logs energy
Synset('rochester.n.01')	rochester university dept
Synset('switch.v.04')	switching iden switched fixed shifted shifting
Synset('diameter.n.01')	diameter diameters
Synset('press.v.04')	pressed press
Synset('expose.v.03')	displayed exhibited exhibiting display
Synset('shift.n.01')	displacements displacement
Synset('disease.n.01')	disorder disease diseases cleveland
Synset('intense.a.01')	i.e intense
Synset('wink.v.04')	blinks blink
Synset('rear.n.05')	rear outperform form learned plain forward back feeds information representations epochs digit
Synset('people.n.01')	images problem reliably 274 segments
Synset('testis.n.01')	ball balls 406
Synset('track.n.07')	attempting moves track tracks
Synset('jung.n.01')	122 124 jung
Synset('mood.n.03')	refractory closed-loop modality modes mood individual neuronal batch irregular mode current modalities dolce background account
Synset('state.n.04')	nation nations
Synset('resistance.n.01')	opposition resistance
Synset('vowel.n.02')	vowels 25 data vowel intermediate classifiers classifier knn state ten classification 10
Synset('successful.a.01')	function reinforcement successful
Synset('removal.n.01')	removal complete
Synset('watershed.n.01')	divides training divide cycle algorithm
Synset('forget.v.03')	forget forgetting
Synset('organization.n.04')	1998 initiative organization organizations organisation thompson synaptic
Synset('thin.a.01')	state thin
Synset('overlap.n.01')	reduce input overlap pairwise convergence response patterns overlaps substantial bounded point
Synset('watch.v.03')	properly nodes viewed viewing
Synset('excite.v.07')	excited exciting excite
Synset('suffer.v.06')	suffer suffers suffered suffering
Synset('arrow.n.02')	dashed solid arrow arrows labels heavy
Synset('quantum.n.02')	nervous discharge quantum
Synset('mem.n.01')	framework committee mem large
Synset('prevent.v.01')	prevent preclude precludes
Synset('sink.v.03')	lapses passed
Synset('anticipate.v.06')	systems anticipate anticipated
Synset('january.n.01')	database works january jan markov sci 43
Synset('variation.n.02')	variance variations variances
Synset('wardrobe.n.01')	neural university recognition biol networks ieee pergamon oxford denver ma 1993 systems proteins princeton academic mit press programming editors park san michigan al analysis june york yale
Synset('weigh.v.03')	weigh weighed weighing
Synset('episode.n.01')	episode episodes
Synset('table.n.02')	67 inputs units discussion required tables 410 problem shown 0.03 noise 73 results table order efficiency images offset 19 false accurately bounded input unit truth two-dimensional rh prediction koch 4.6
Synset('professional.n.02')	suggested finding pro
Synset('cyclooxygenase.n.01')	14 scale lewis cox
Synset('customer.n.01')	14 customers customer
Synset('maximization.n.02')	maximisation 1995 0.03 maximization expectation
Synset('return.v.01')	set returning returns returned potential es return
Synset('overall.n.02')	separable installed 16 lower showed parameter degrade
Synset('implementation.n.02')	circuit compact vary usage covariance variants simpler network current alterna parallel 1991 electronic net physical implementations hardware cmos digital practical implementation distributed reduced significant concepts eds present
Synset('energizing.n.01')	collaterals neuron language units conductance matrix network feedback activating graded spatial 30 ii courses figure images linear presynaptic forward patterns synapse rows lead resulting plots computation analog node sigmoidal sigmoid 1981 increasing typical activations burst activation correlated forms
Synset('convex.a.01')	single including appendix form convex construct nested strictly simply
Synset('formation.n.01')	memory self-organized pattern formation sequences trans
Synset('rich.a.02')	richer rich
Synset('available.a.01')	mackay conservative data techniques bits classifiers training information continuously revised
Synset('position.v.01')	positioning positioned positions position
Synset('reverse.n.05')	left-to-right reverse reverses leakage
Synset('tail.n.01')	tails tail
Synset('performance.n.03')	correct strength optimal lq comparative voting edwards parsing improved high shows associating experiment function classifiers classifier model discrimination poorer based actual tap test arising adjusted isolation significant analysis classification degraded graph jitter signals task system slow highest improve leads effect prediction difference amplifier parameters 20 degrades problems average compare fi increased regions circuit hidden parity achieve differences experiments 1000 proper training learning states network current design noise iteration studies human class performances table execution chip figure robust loads affects control improvement noisy compares noted 100 schedule superior performance trials rise
Synset('systeme_international_d'unites.n.01')	i.e si effect analy sis
Synset('biological.a.01')	biological networks
Synset('pervert.n.01')	deviate deviates degenerate
Synset('name.v.02')	deviations named identifies identifying names identified identify naming investigation model training al
Synset('database.n.01')	databases database large financial machine sequences heart
Synset('node.n.03')	instance untrained fewer occurs output number 112 bifurcation post continuous overlaps 53 computational counting environmental count active correlations node input 1.0 overlap correlation creating student-teacher specialized regions hidden experiments pursuit rule training learning networks giving error neighboring layer weak random computing feature floating ive map 32 hypercube summing match started suggest message prototype target single 100 environment nodes bid
Synset('persona.n.02')	image images
Synset('model.v.06')	modeled model
Synset('want.v.02')	nets needed required cascode tasks algorithm train song chip figure development cost linear 2,000 method rates subjects bits require concentration technology affected noted odors input application requiring grid specialization reducing gaussian requires
Synset('unlike.a.01')	unlike dissimilar
Synset('read.v.05')	read reads activation
Synset('facing.n.01')	facing baseline
Synset('situation.n.02')	positions position situation situations
Synset('explore.v.02')	exploring explore sets systems explored explores lippmann papers plan
Synset('readiness.n.01')	preparations preparation
Synset('filling.n.01')	memory fill fills
Synset('chord.n.02')	chord chords
Synset('run.v.11')	matlab presently run continually running computer disparity function ld 0.0001 averaged 50 free runs 20 ran 10 twenty
Synset('retain.v.02')	beginning keeping retain adaptation replaced continued learning weights onset retained channels continue continues retaining sensitivity continuing actions retains object
Synset('insight.n.03')	insight insights
Synset('see.v.01')	sees choppers
Synset('stand.n.10')	stands unit stand
Synset('williams.n.05')	ron san 14 motion hinton zhu informatik williams lecture rumelhart gaussian aftereffect
Synset('iowa.n.02')	hobson ia layer
Synset('santos.n.01')	542 544 538
Synset('pass.n.04')	passes low pass curve series backward hyperplane simply
Synset('trickle.v.01')	including membrane kalman pattern filters high-pass developed filter filtered left fixed low-pass constants contrasts filtering
Synset('transcript.n.02')	copies copy
Synset('tellurium.n.01')	te ay weight wei
Synset('tempt.v.03')	invited tempting perception
Synset('diagonal.n.04')	favorable diagonal
Synset('pasadena.n.01')	pasadena drive
Synset('tree.n.03')	tree trees
Synset('suit.v.01')	accommodate accommodated
Synset('forget.v.02')	forget forgetting
Synset('united_nations.n.01')	optimal shapes discussions
Synset('variation.n.01')	amplification criterion fluctuations 1993 variations expected power sample trains fluctuation variation temporal
Synset('salute.v.06')	presented tones presenting present
Synset('leaf.n.02')	oak scenes leaf
Synset('change.v.02')	changing changed
Synset('prohibition.n.05')	figure lt inhibition weak
Synset('translate.v.01')	renders interpreting rendered interpret interprets capacities interpreted
Synset('overwork.v.02')	exploit exploiting
Synset('decide.v.04')	decided decides decide
Synset('refinement.n.05')	refinement refinements
Synset('fluctuate.v.01')	fluctuates fluctuating
Synset('oppose.v.03')	opposed opposing
Synset('omission.n.03')	deletion deletions
Synset('process.v.03')	microprocessor symbol data optimal govern intrinsically language nonlinear entire frequency auditory advances 711 function visual higher-level signal energy non-linear combination similar peripheral actual image making giles level metal distributed synapse analysis smoother 1986 signals system cognitive converge alan animal processing fixed basic top-down trans nn internal neural line affect pattern learning formation autoregressive derive network random search variety parallel stochastic cohn physical editors cmos editor chip process processes motion control designing picture intelligent bart processed simmons koller speech restricted markov le information 429 gaussian
Synset('acoustics.n.01')	conference inst acoustics ieee
Synset('light-emitting_diode.n.01')	phase found inputs led results
Synset('emotion.n.01')	emotion emotions
Synset('medical.a.01')	symptoms medical acknowledgements
Synset('symmetrical.a.01')	independent synchronous symmetrical asymmetric depression symmetric
Synset('shuffle.v.03')	improved unit mixing mixed learning mix algorithm
Synset('expect.v.01')	expect expected
Synset('remains.n.01')	unit problem system firing remains cie population
Synset('rank.v.01')	rankings ranks rank ranked ranking full
Synset('feed.v.07')	output fed feeding feeds
Synset('landing.n.04')	fly landing
Synset('notice.n.04')	site grating performed notice
Synset('book.n.01')	books book
Synset('effect.n.03')	architectures question show inhibition uniform shows latent maxima viewed effect attributes power net press suggesting lesion
Synset('topography.n.01')	topography plots
Synset('express.v.05')	expressing expressed
Synset('praseodymium.n.01')	pr pattern
Synset('space.n.08')	topologically linear fig searching weight sample space cover input existing search condition likelihood size solution 1993 spaces temperature place state
Synset('substitute.v.01')	substituted replaces replace substituting replaced
Synset('drift.n.02')	tended drift
Synset('sensitivity.n.05')	explore parameter exhibits sensitivities sensitivity
Synset('mild.a.01')	shown mild
Synset('explore.v.04')	exploring explore strategies explored explores region strategy
Synset('winner.n.01')	winners winner
Synset('layer.v.01')	mth cluster previous hidden smallest absence polysilicon constrained layer multi output thalamic final layers competitive resistive rn
Synset('file.n.04')	file files network
Synset('track.n.09')	keeping rail circular track generate tracks
Synset('lithium.n.01')	cf neural solution injury dispersion li put
Synset('transition.n.03')	transitions transition
Synset('vogue.n.01')	trend implemented style trends
Synset('retain.v.03')	holding retained held implemented retain retaining technique wa retains
Synset('digit.n.03')	digits digit
Synset('sagacity.n.01')	judgements judgement judgment judgments
Synset('musical_arrangement.n.01')	switching arrangement cascode current recording arrangements compromise
Synset('promise.n.01')	directions promise promises
Synset('wisconsin.n.02')	m-1 wisconsin ij wi regions completely weights layer
Synset('congestion.n.01')	effect congestion
Synset('striate.v.01')	single macaque monkey cells cat complex striate architecture
Synset('front.n.04')	fronts front
Synset('segment.n.02')	segment segments
Synset('purpose.n.01')	aims aim purpose purposes design classifier designs intent intention
Synset('instructive.a.01')	instructive improves informative
Synset('association.n.03')	associations association american temporal vehicle
Synset('testing.n.01')	environment images testing training mixed networks
Synset('interpolation.n.01')	insertions insertion
Synset('analyzer.n.01')	analysers component data analyzers analyzer analyser perception
Synset('state.n.02')	initial behavioral true state steady states
Synset('collection.n.01')	largest books collections objects aggregation collection region
Synset('cambridge.n.02')	college memory neural mathematics university scientific language adaptive pages 1995 atmospheric systems 1991 mit cambridge press models king preprint electrical engineering brain phd volume science processing
Synset('darken.v.03')	plications darken
Synset('merging.n.01')	merging meeting
Synset('mean.v.01')	meant intended intend
Synset('calcium.n.01')	internal inference threshold error trees approach 159 segment diego circuits ca gated san angeles calcium mateo kaufmann c2 pasadena unit berkeley jolla stimulating http dendritic
Synset('nation.n.02')	nation model nations
Synset('cell.n.02')	synchronized rostral functions untrained photoreceptor inhibitory excitatory rules simple receptive trains synchrony approach neurons horizontal act kinases stimuli complex implemented dynamic spatial recurrent connections attempts ii cortex phase similar models tuning definite caudal ir synapse zones input 200 hybrid field 324 detecting biological mitral sensitivity parameters strong functional cross-correlation activity additional ganglion rule fundamental cell postsynaptic long layer gain prevent potentiated hair thalamic feedforward stronger cat tangential distances amount granule linear chance attributed decreased pyramidal alternate nucleus specific logical receptor cells cortical firing constraint tally category account dimensions
Synset('dot.n.03')	monkey dots barely dot
Synset('stress.v.01')	stressed emphasizes emphasized emphasizing cri emphasize observed
Synset('preserve.n.01')	preserves preserve
Synset('integrate.v.01')	cortex incorporates integrating methods synapse incorporate integrate integrated decided analyses 1986 expect system bat systems incorporated step assembled integrates incorporating hardware algorithm
Synset('stick.n.06')	sticks stick
Synset('same.a.02')	intensity secondary belong equipped maximum gathered 50 velocity units
Synset('chosen.n.01')	algorithms instances regularization units encoding chosen
Synset('rise.v.02')	give statistical rising rose rise giving rises climbing point
Synset('proceed.v.02')	schedule axons proceed induction proceeded continue continues proceedings continuing
Synset('investigation.n.02')	investigating investigations investigation rule neurophysiological mj
Synset('tuning.n.01')	ferster intensity phase figure orientation tuning ruderman due directional
Synset('raleigh.n.02')	automation raleigh
Synset('toilet.n.01')	synchronized data evidence criteria reasoning neuron numbers neurons space points output presentation conjugate instruments poor function implementable model 50 state signal results 10 phase similar large patterns distributed weights analysis vectors signals system size av defects demonstrate average circuit pattern update scale technique learning annealing networks cycle layer network parameter vector behavior mechanism class architecture chip figure original cases decision nature deviation suggest refinements corollary detected online
Synset('perceive.v.01')	whitehead perceives bat perceived accuracy perceive perceiving
Synset('space.n.01')	infinite space partially
Synset('principe.n.01')	principe compression
Synset('while.n.01')	fig localised neuron synchrony cues patch barr number stimuli overlaps fire connection moving ii splitting making patches slope population underestimate signals task asymptotic piece plant amplifier position formed cursor bf classes values experiments deterministic rule bach learning turn units cell matrix networks representation long states network pieces muscle noise wij term passed matrices incorporating cmos gilbert selective motion learned change stimulus filter stim cells approximately species 4.6
Synset('reach.v.01')	gaining gained made attaining attained attain
Synset('occur.v.03')	splitting process processes activity occurred examine occured occur change ltp training learning occurs hysteresis occurring naturally responding bursts stream determined firing missing discontinuities
Synset('contour.v.01')	contours contour
Synset('macaque.n.01')	macaque neurons
Synset('conventionality.n.03')	convention electronic show
Synset('selenium.n.01')	ses res se worse
Synset('houseclean.v.01')	cleaning cleaned
Synset('difficulty.n.03')	difficulty depending difficulties great
Synset('market.v.01')	market markets
Synset('professor.n.01')	professor prof proves
Synset('portray.v.02')	depict depicted depicts
Synset('recruit.v.03')	granger levy recruited
Synset('implement.v.01')	add implements set scheme method implementing procedure units conclusion contribution traditionally 424 implemented term implement directly 20
Synset('lead_up.v.01')	initiate initiates initiated initiating
Synset('bar.n.15')	bar test subjects cross networks calibration signal bars
Synset('stop.v.03')	halted halt carefully halting
Synset('thing.n.08')	things thing
Synset('master.v.04')	controlled controls measure strate conventional pattern control learning controlling master
Synset('band.n.07')	band bands
Synset('source.n.03')	sources source
Synset('mechanics.n.01')	statistical 1990 mechanics
Synset('depolarize.v.01')	depolarizing strongly injected depolarized rapidly highly
Synset('quest_for.v.01')	pursue pursued
Synset('produce.v.03')	outputs produces produce produced
Synset('government.n.03')	government u.s department
Synset('widen.v.04')	extend broadening extended
Synset('addition.n.02')	additions addition
Synset('tempo.n.01')	pacing tempo
Synset('attention.n.01')	visual attention
Synset('postulate.v.02')	postulated hebb
Synset('attach.v.02')	attached attach
Synset('rotation.n.01')	rotation rotations
Synset('perplexity.n.01')	perplexity tab 0.45
Synset('pulse.v.02')	incoming receive neuronal inhibitory pulsed synaptic output single input random current fires 1984 light pulses pulse subsequent 3-4 step
Synset('biota.n.01')	biology molecular math microseconds finance theory mathematical
Synset('collection.n.04')	collections aggregation denotes collection collecting
Synset('neutral.n.01')	curve prediction neutral vlsi
Synset('plication.n.02')	plications ap
Synset('worldly_concern.n.01')	external world task worlds natural real gaussian applications network
Synset('pull.v.04')	pulled pulling pulls
Synset('fall.v.24')	falls fall
Synset('holmium.n.01')	ma ho
Synset('anterior.a.01')	call anterior
Synset('yoke.v.02')	linking transformation linked
Synset('push.v.01')	pushed push
Synset('park.n.02')	green 323 common additional park attempts
Synset('essen.n.01')	van essen
Synset('adult.n.02')	adults adult
Synset('shell.n.04')	shells shell
Synset('portrayal.n.02')	testing characterization
Synset('ross.n.05')	1981 d.c ross burr cleveland
Synset('translate.v.08')	translating translates translated translate
Synset('reach.v.02')	reaches reach reaching suggest hitting samples hits attains hit system attaining reached attained attain
Synset('undergo.v.01')	output neural ganglion undergoing undergoes continuously undergo network
Synset('hull.n.06')	convex hull
Synset('summary.n.01')	summary random figure conclusions 2.4 require fields table presents
Synset('mass.n.01')	mass reading dissertation cambridge cheap masses
Synset('threshold.n.01')	thresholds threshold
Synset('space.n.02')	symbol half parameter spaces space
Synset('yttrium.n.01')	stud ies ys
Synset('difficulty.n.02')	difficulty difficulties
Synset('society.n.01')	society journal systems cog royal optical
Synset('obstacle.n.02')	obstacles obstacle
Synset('tissue.n.01')	tissues tissue
Synset('stripe.n.05')	stripes bar response stripe bars stimulation
Synset('hole.n.02')	hole holes
Synset('bergen.n.01')	sloan bergen
Synset('leap.v.02')	jumping jumps jump
Synset('patch.n.03')	patch patches
Synset('supplant.v.01')	input blocking replaces replace replaced model learning replacing day
Synset('proposition.n.01')	goal propositions proposition
Synset('creation.n.02')	dynamic creation
Synset('source.n.02')	sources source
Synset('fox.n.01')	burgard press fox
Synset('follower.n.01')	based follower source
Synset('empty.v.02')	black 20 empty
Synset('detector.n.03')	detectors detector
Synset('coefficient.n.01')	preservation original coefficient 70 coefficients 10
Synset('attach.v.01')	attached attach
Synset('hemisphere.n.03')	upper hemispheres hemisphere
Synset('respect.n.03')	models regard respect respects
Synset('share.v.04')	shared dealt sharing cues
Synset('expansion.n.03')	elaboration expansion
Synset('cell.n.04')	cells cell
Synset('close.v.09')	closed close closes
